127.0.0.1 - - [04/Jun/2026:15:35:56 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:35:59 +0530] "GET /ORSProject04/ HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:35:59 +0530] "GET /ORSProject04/css/app.css HTTP/1.1" 200 12911
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:35:59 +0530] "GET /ORSProject04/js/datepicker.js HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:35:59 +0530] "GET /ORSProject04/img/customLogo.jpg HTTP/1.1" 200 41899
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:36:00 +0530] "GET /ORSProject04/img/favicon.ico HTTP/1.1" 200 15406
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:37:59 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:37:59 +0530] "GET /ORSProject04/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:37:59 +0530] "GET /ORSProject04/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:37:59 +0530] "GET /ORSProject04/js/datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:38:05 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:38:20 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:39:22 +0530] "POST /ORSProject04/LoginCtl HTTP/1.1" 200 20485
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:39:56 +0530] "GET /ORSProject04/ctl/UserListCtl HTTP/1.1" 200 20315
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:39:56 +0530] "GET /ORSProject04/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:39:56 +0530] "GET /ORSProject04/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:39:56 +0530] "GET /ORSProject04/js/datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:40:04 +0530] "POST /ORSProject04/ctl/UserListCtl HTTP/1.1" 200 20631
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:40:19 +0530] "GET /ORSProject04/ctl/MarksheetListCtl HTTP/1.1" 200 23425
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:40:23 +0530] "GET /ORSProject04/ctl/MarksheetListCtl?lang=hi HTTP/1.1" 200 23868
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:40:32 +0530] "GET /ORSProject04/ctl/MarksheetListCtl?lang=en HTTP/1.1" 200 23425
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:40:40 +0530] "GET /ORSProject04/LoginCtl?operation=logout HTTP/1.1" 200 7432
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:40:53 +0530] "GET /ORSProject04/LoginCtl?lang=hi HTTP/1.1" 200 7349
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:41:47 +0530] "GET /ORSProject04/LoginCtl?lang=en HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:41:47 +0530] "GET /ORSProject04/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:41:47 +0530] "GET /ORSProject04/js/datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:41:47 +0530] "GET /ORSProject04/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:42:04 +0530] "GET /ORSProject04/LoginCtl HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:42:10 +0530] "POST /ORSProject04/LoginCtl HTTP/1.1" 200 7464
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:44:47 +0530] "POST /ORSProject04/LoginCtl HTTP/1.1" 200 20485
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:44:47 +0530] "GET /ORSProject04/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:44:47 +0530] "GET /ORSProject04/js/datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:44:47 +0530] "GET /ORSProject04/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:45:04 +0530] "GET /ORSProject04/ctl/UserListCtl HTTP/1.1" 200 20315
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:45:55 +0530] "GET /ORSProject04/ctl/UserListCtl HTTP/1.1" 200 20315
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:47:15 +0530] "POST /ORSProject04/ctl/UserListCtl HTTP/1.1" 200 20631
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:47:15 +0530] "GET /ORSProject04/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:47:15 +0530] "GET /ORSProject04/js/datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:15:47:15 +0530] "GET /ORSProject04/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:03:46 +0530] "GET /ORSProject04/WelcomeCtl HTTP/1.1" 200 20485
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:03:46 +0530] "GET /ORSProject04/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:03:46 +0530] "GET /ORSProject04/js/datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:03:46 +0530] "GET /ORSProject04/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:05:55 +0530] "GET /ORSProject04/ctl/RoleListCtl HTTP/1.1" 200 19224
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:07:41 +0530] "GET /ORSProject04/WelcomeCtl HTTP/1.1" 200 20485
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:07:56 +0530] "GET /ORSProject04/ctl/CollegeListCtl HTTP/1.1" 200 22022
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:07:56 +0530] "GET /ORSProject04/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:07:56 +0530] "GET /ORSProject04/js/datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:07:56 +0530] "GET /ORSProject04/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:08:03 +0530] "POST /ORSProject04/ctl/CollegeListCtl HTTP/1.1" 200 22180
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:08:18 +0530] "POST /ORSProject04/ctl/CollegeListCtl HTTP/1.1" 200 19516
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:08:25 +0530] "GET /ORSProject04/WelcomeCtl HTTP/1.1" 200 20485
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:08:34 +0530] "GET /ORSProject04/ctl/GetMarksheetCtl HTTP/1.1" 200 16117
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:08:39 +0530] "GET /ORSProject04/ctl/GetMarksheetCtl HTTP/1.1" 200 16117
0:0:0:0:0:0:0:1 - - [04/Jun/2026:16:08:40 +0530] "GET /ORSProject04/WelcomeCtl HTTP/1.1" 200 20485
